open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,month,year,day,day_of_week,quarter,date,per_change,movement
592.47,596.77,591.6,596.59,8035900.0,596.77,591.6,596.59,592.47,8045575.0,1.0,0.0,VOO,ARCX,9,2025,4,3,3,2025-09-04,0.6953938596047065,1
590.81,592.23,588.78,591.72,8198600.0,592.23,588.78,591.72,590.81,6663405.0,1.0,0.0,VOO,ARCX,9,2025,3,2,3,2025-09-03,0.15402582894671416,0
586.06,588.8,583.67,588.71,11100100.0,588.8,583.67,588.71,586.06,11116704.0,1.0,0.0,VOO,ARCX,9,2025,2,1,3,2025-09-02,0.4521721325461713,1
595.24,595.55,591.245,593.08,7512032.0,595.55,591.245,593.08,595.24,7512032.0,1.0,0.0,VOO,ARCX,8,2025,29,4,3,2025-08-29,-0.36287883878771054,0
595.07,597.065,593.27,596.52,5002053.0,597.07,593.27,596.52,595.07,5058689.0,1.0,0.0,VOO,ARCX,8,2025,28,3,3,2025-08-28,0.24366881207251778,0
592.52,595.14,592.44,594.42,6161700.0,595.14,592.44,594.42,592.52,6171422.0,1.0,0.0,VOO,ARCX,8,2025,27,2,3,2025-08-27,0.32066428137446457,1
590.38,593.43,589.79,593.06,4769000.0,593.43,589.795,593.06,590.38,4776577.0,1.0,0.0,VOO,ARCX,8,2025,26,1,3,2025-08-26,0.4539449168332176,1
592.05,593.23,590.55,590.7,6476700.0,593.2299,590.55,590.7,592.05,6483035.0,1.0,0.0,VOO,ARCX,8,2025,25,0,3,2025-08-25,-0.22802128198630336,0
586.27,594.32,585.84,593.21,6379600.0,594.32,585.84,593.21,586.27,6389278.0,1.0,0.0,VOO,ARCX,8,2025,22,4,3,2025-08-22,1.1837549252051196,1
584.93,586.46,582.65,584.27,4794500.0,586.46,582.65,584.27,584.93,4807277.0,1.0,0.0,VOO,ARCX,8,2025,21,3,3,2025-08-21,-0.11283401432649517,0
587.81,588.0,581.85,586.58,7065000.0,588.0,581.85,586.58,587.81,7113572.0,1.0,0.0,VOO,ARCX,8,2025,20,2,3,2025-08-20,-0.20925128868170065,0
591.25,592.12,586.94,588.13,6718500.0,592.12,586.94,588.13,591.25,6739284.0,1.0,0.0,VOO,ARCX,8,2025,19,1,3,2025-08-19,-0.5276955602537006,0
590.98,591.95,590.36,591.36,5287507.0,592.02,590.35,591.36,590.98,5311743.0,1.0,0.0,VOO,ARCX,8,2025,18,0,3,2025-08-18,0.06429997631053427,0
593.86,593.95,590.66,591.57,7188100.0,593.95,590.66,591.57,593.86,7196315.0,1.0,0.0,VOO,ARCX,8,2025,15,4,3,2025-08-15,-0.3856127706866877,0
590.92,593.51,590.5,592.85,6227800.0,593.51,590.5,592.85,590.92,6236666.0,1.0,0.0,VOO,ARCX,8,2025,14,3,3,2025-08-14,0.32660935490422793,1
592.86,594.03,590.81,592.84,5384000.0,594.03,590.81,592.84,592.86,5392973.0,1.0,0.0,VOO,ARCX,8,2025,13,2,3,2025-08-13,-0.003373477718176603,0
586.75,590.96,585.43,590.78,5851900.0,590.96,585.435,590.78,586.75,5874245.0,1.0,0.0,VOO,ARCX,8,2025,12,1,3,2025-08-12,0.686834256497652,1
586.03,587.36,583.44,584.54,5366300.0,587.36,583.44,584.54,586.03,5373949.0,1.0,0.0,VOO,ARCX,8,2025,11,0,3,2025-08-11,-0.25425319522891476,0
582.93,586.17,582.6,585.74,4331400.0,586.17,582.6,585.74,582.93,4342341.0,1.0,0.0,VOO,ARCX,8,2025,8,4,3,2025-08-08,0.4820475871888665,1
584.87,585.52,578.31,581.29,4584600.0,585.52,578.3127,581.29,584.87,4594260.0,1.0,0.0,VOO,ARCX,8,2025,7,3,3,2025-08-07,-0.6121018345957291,0
578.25,582.27,577.41,581.64,4514300.0,582.27,577.41,581.64,578.25,4545015.0,1.0,0.0,VOO,ARCX,8,2025,6,2,3,2025-08-06,0.5862516212710741,1
580.79,581.5,576.4,577.35,4629500.0,581.5,576.4,577.35,580.79,4647381.0,1.0,0.0,VOO,ARCX,8,2025,5,1,3,2025-08-05,-0.5922966993233253,0
575.17,580.21,575.08,580.14,6628200.0,580.21,575.08,580.14,575.17,6640089.0,1.0,0.0,VOO,ARCX,8,2025,4,0,3,2025-08-04,0.8640923553036541,1
575.73,575.74,569.29,571.45,8771900.0,575.74,569.29,571.45,575.73,8781254.0,1.0,0.0,VOO,ARCX,8,2025,1,4,3,2025-08-01,-0.7434040261928286,0
587.83,588.16,579.84,581.02,7007900.0,588.161445,579.84,581.02,587.83,7046843.0,1.0,0.0,VOO,ARCX,7,2025,31,3,3,2025-07-31,-1.1584982052634365,0
584.66,586.15,580.55,583.21,6944200.0,586.15,580.55,583.21,584.66,6974729.0,1.0,0.0,VOO,ARCX,7,2025,30,2,3,2025-07-30,-0.24800738890978208,0
586.82,587.08,583.12,583.92,5044000.0,587.08,583.12,583.92,586.82,5053447.0,1.0,0.0,VOO,ARCX,7,2025,29,1,3,2025-07-29,-0.4941890187791982,0
